Timestamp,X-Axis-plate,Y-Axis-plate,Z-Axis-plate,X-Axis-extrusion,Y-Axis-extrusion,Z-Axis-extrusion,Tension
1575294125171,-0.35,-0.156,9.537,-2.321,-0.186,-11.486,331.8
1575294125176,0.43,-0.209,9.805,0.857,-0.548,-7.385,324.7
1575294125181,-0.273,-0.324,9.598,1.482,1.351,-11.3,326.8
1575294125186,-0.289,0.52,9.639,-0.636,0.847,-9.964,325.7
1575294125191,-0.249,-0.368,9.635,-1.837,-0.304,-9.445,326.2
1575294125197,-0.163,-0.19,9.459,0.305,0.227,-9.616,324.3
1575294125201,-0.192,-0.162,9.759,1.554,0.73,-10.517,324.8
1575294125206,-0.225,-0.23,9.619,-0.706,0.467,-9.776,326.1
1575294125212,-0.147,-0.68,9.509,-2.255,-0.357,-9.758,325.4
1575294125216,-0.119,-0.407,9.811,-0.44,0.316,-9.728,334.4
1575294125221,-0.273,-0.108,9.469,1.106,0.796,-9.306,328.4
1575294125226,-0.16,-0.138,9.5,0.165,0.364,-10.244,333.7
1575294125231,-0.131,-0.184,9.646,-0.926,-0.215,-8.397,327.3
1575294125236,-0.337,-0.254,9.661,-0.74,-0.369,-11.35,329.7
1575294125241,-0.109,-0.281,9.671,1.46,0.995,-9.204,328.9
1575294125246,-0.152,-0.197,9.658,-0.74,0.104,-9.795,327.5
1575294125251,-0.167,-0.195,9.529,-1.504,-0.274,-10.91,332.0
1575294125256,-0.2,-0.178,9.785,0.168,-0.442,-8.861,329.9
1575294125261,-0.131,-0.215,9.635,1.327,0.557,-9.864,329.6
1575294125266,-0.25,-0.332,9.447,0.112,0.912,-10.319,324.5
1575294125271,-0.194,-0.261,9.736,-0.833,-0.708,-9.242,331.1
1575294125276,-0.53,-0.11,9.508,-0.308,-0.946,-9.187,323.3
1575294125281,-0.254,-0.25,9.575,1.283,2.51,-10.314,328.5
1575294125286,-0.294,-0.254,9.683,0.391,-0.251,-9.483,331.8
1575294125291,-0.104,-0.162,9.648,-0.843,-0.505,-9.547,333.6
1575294125296,-0.145,-0.124,9.668,-0.411,-1.29,-10.22,331.0
1575294125302,-0.209,-0.398,9.595,1.481,1.407,-9.463,329.9
1575294125306,-0.308,-0.114,9.621,-0.59,0.497,-10.382,325.2
1575294125310,-0.125,-0.243,9.657,-0.807,-0.687,-8.844,340.2
1575294125316,-0.118,-0.51,9.523,-0.511,-0.606,-11.239,331.1
1575294125320,-0.265,-0.194,9.498,2.5,-0.371,-8.591,328.8
1575294125327,-0.329,-0.244,9.675,0.342,1.282,-10.235,329.6
1575294125330,-0.18,-0.51,9.597,-1.508,0.15,-8.78,332.7
1575294125337,-0.192,-0.372,9.542,1.67,-0.823,-11.23,330.7
1575294125341,-0.206,0.64,9.769,1.163,-0.175,-8.991,330.4
1575294125347,-0.262,-0.113,9.52,0.37,0.799,-10.42,331.3
1575294125351,-0.137,-0.433,9.804,-0.373,0.563,-9.61,332.9
1575294125356,-0.355,0.215,9.261,0.339,-1.85,-9.766,325.2
1575294125361,-0.14,-0.33,9.615,1.395,-0.35,-10.79,327.9
1575294125366,-0.258,-0.308,9.984,0.464,2.6,-9.329,328.2
1575294125372,-0.265,-0.1,9.211,-0.694,-0.311,-10.145,331.7
1575294125377,-0.99,-0.338,9.867,0.459,-0.499,-8.505,322.3
1575294125382,-0.159,0.53,9.4,1.14,-0.79,-10.494,331.1
1575294125387,-0.172,-0.464,9.615,0.681,1.451,-9.853,335.1
1575294125391,-0.222,-0.244,9.97,-0.119,-0.358,-9.336,338.3
1575294125396,-0.232,-0.11,9.183,-0.609,-1.237,-10.568,327.9
1575294125402,0.1,-0.607,10.174,2.816,0.868,-8.832,327.6
1575294125406,-0.402,0.1,9.602,0.375,0.728,-10.385,330.4
1575294125411,-0.222,-0.19,9.453,-1.493,0.111,-9.133,340.5
1575294125417,-0.64,-0.241,9.785,1.657,0.653,-9.634,331.4
1575294125422,-0.161,-0.399,9.532,0.999,5.705,-10.643,328.7
1575294125426,-0.258,-0.39,9.848,-4.986,3.165,-9.667,332.7
1575294125431,0.28,0.133,9.412,0.889,-2.877,-8.259,333.7
1575294125437,0.1,-0.514,9.431,6.94,-1.36,-10.883,329.2
1575294125441,-0.617,0.68,9.817,0.568,-0.926,-9.5,334.1
1575294125446,-0.451,-0.32,9.599,-2.771,0.75,-10.852,330.2
1575294125451,0.3,-0.647,9.656,1.691,0.456,-8.894,328.1
1575294125456,-0.218,0.134,9.612,0.893,-0.495,-10.623,329.8
1575294125462,-0.16,-0.114,9.769,-0.694,1.52,-9.96,333.6
1575294125466,0.12,-0.229,9.525,0.142,0.298,-9.918,331.9
1575294125472,-0.161,-0.327,9.668,0.436,0.385,-10.35,335.1
1575294125475,-0.39,0.57,9.724,0.74,0.112,-9.233,329.4
1575294125482,-0.246,-0.293,9.571,0.106,0.351,-10.217,329.6
1575294125486,-0.46,-0.396,9.514,0.531,-0.67,-8.575,329.6
1575294125491,-0.244,0.1,9.649,0.525,0.17,-10.873,333.9
1575294125496,-0.173,-0.171,9.667,0.87,1.346,-9.575,328.6
1575294125501,-0.145,-0.19,9.597,0.54,0.285,-9.698,333.9
1575294125506,-0.239,-0.121,9.584,0.117,-0.181,-10.125,325.9
1575294125511,-0.218,-0.94,9.721,0.732,-0.34,-9.257,328.0
1575294125517,-0.226,-0.385,9.595,0.143,0.631,-10.269,337.4
1575294125521,-0.105,-0.383,9.643,-0.63,0.524,-9.724,333.0
1575294125526,-0.26,-0.58,9.693,0.275,-0.195,-9.781,333.3
1575294125532,-0.198,-0.82,9.625,0.403,0.513,-9.538,333.4
1575294125535,-0.137,-0.229,9.586,0.851,0.456,-9.204,333.8
1575294125541,-0.189,-0.162,9.554,0.229,0.59,-10.303,332.9
1575294125545,-0.203,-0.181,9.738,0.3,0.357,-9.578,333.2
